# param1 param2 velocity_error viscosity_error
6.1249316243e+00 7.3834128708e-01 1.4670201060e-02 3.6567214133e-01
6.1249316243e+00 7.3834128708e-01 3.1179386365e-02 1.1474153858e-01
6.1249316243e+00 7.3834128708e-01 3.2611904531e-02 4.5859397941e-01
6.1249316243e+00 7.3834128708e-01 5.1952089598e-03 1.5327676615e-02
6.2906715613e+00 8.4606062551e-01 4.9369302073e-03 9.6100447242e-02
6.2906715613e+00 8.4606062551e-01 4.6700810789e-02 2.0982962738e-01
6.2906715613e+00 8.4606062551e-01 4.5646306535e-02 2.0709099338e-01
6.2906715613e+00 8.4606062551e-01 4.3255800671e-02 2.1054552784e-01
6.2906715613e+00 8.4606062551e-01 3.9382419789e-02 1.5299930736e-01
6.2906715613e+00 8.4606062551e-01 3.1280403450e-02 2.2178318231e-01
6.2906715613e+00 8.4606062551e-01 1.7658564460e-02 3.6220055464e-01
6.2906715613e+00 8.4606062551e-01 1.6097250631e-02 1.1693676981e-01
6.2906715613e+00 8.4606062551e-01 1.7708060003e-02 4.7431178400e-01
6.2906715613e+00 8.4606062551e-01 5.4714009384e-03 2.2257608462e-02
6.4130249988e+00 5.4673316879e-01 4.9572323676e-03 9.6095552945e-02
6.4130249988e+00 5.4673316879e-01 4.6606735491e-02 2.0262047356e-01
6.4130249988e+00 5.4673316879e-01 4.5513351798e-02 1.9730778912e-01
6.4130249988e+00 5.4673316879e-01 4.2617476708e-02 2.1828135012e-01
6.4130249988e+00 5.4673316879e-01 3.3647255687e-02 1.4869988514e-01
6.4130249988e+00 5.4673316879e-01 1.6493619098e-02 2.1703965623e-01
6.4130249988e+00 5.4673316879e-01 5.3607073753e-02 3.4978950918e-01
6.4130249988e+00 5.4673316879e-01 7.6612243780e-02 1.1323424772e-01
6.4130249988e+00 5.4673316879e-01 7.7873879504e-02 4.6533938733e-01
6.4130249988e+00 5.4673316879e-01 4.6233124834e-03 1.6979733261e-02
6.4826243328e+00 5.0423684759e-01 4.9712740722e-03 9.6095433413e-02
6.4826243328e+00 5.0423684759e-01 4.6617934479e-02 2.0072883203e-01
6.4826243328e+00 5.0423684759e-01 4.5522843569e-02 1.9503439634e-01
6.4826243328e+00 5.0423684759e-01 4.2555109661e-02 2.1984370258e-01
6.4826243328e+00 5.0423684759e-01 3.2757958220e-02 1.4785641937e-01
6.4826243328e+00 5.0423684759e-01 1.9436728918e-02 2.1538169874e-01
6.4826243328e+00 5.0423684759e-01 6.4227846637e-02 3.4532626225e-01
6.4826243328e+00 5.0423684759e-01 8.6617284179e-02 1.1287609987e-01
6.4826243328e+00 5.0423684759e-01 8.7960732926e-02 4.6727613584e-01
6.4826243328e+00 5.0423684759e-01 4.3143309806e-03 1.9226004738e-02
6.7541965154e+00 6.0498537315e-01 4.9448320770e-03 9.6095678874e-02
6.7541965154e+00 6.0498537315e-01 4.6597788058e-02 2.0552525314e-01
6.7541965154e+00 6.0498537315e-01 4.5502538409e-02 2.0183897344e-01
6.7541965154e+00 6.0498537315e-01 4.2719494045e-02 2.1925245725e-01
6.7541965154e+00 6.0498537315e-01 3.5107064563e-02 1.5112635030e-01
6.7541965154e+00 6.0498537315e-01 1.6634541219e-02 2.1393135628e-01
6.7541965154e+00 6.0498537315e-01 4.0101770450e-02 3.4289603970e-01
6.7541965154e+00 6.0498537315e-01 6.4408844484e-02 1.1520519680e-01
6.7541965154e+00 6.0498537315e-01 6.5654230777e-02 4.8683917683e-01
6.7541965154e+00 6.0498537315e-01 5.6904921980e-03 1.5142091713e-02
6.9056664523e+00 6.6228059899e-01 4.9380630133e-03 9.6095441710e-02
6.9056664523e+00 6.6228059899e-01 4.6607026297e-02 2.0748253107e-01
